City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Hithadhoo,MV,-0.6,73.0833,81.27,73,100,5.44,overcast clouds
131,Kisangani,CD,0.5167,25.2,70.52,96,100,2.64,overcast clouds
132,Maridi,SS,4.9158,29.4742,66.38,97,81,4.03,broken clouds
133,Caldwell,US,43.6629,-116.6874,95.77,18,0,10.36,clear sky
134,Leningradskiy,RU,69.3833,178.4167,34.83,93,100,7.49,overcast clouds
135,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,84,4,16.37,clear sky
136,Zhigansk,RU,66.7697,123.3711,55.8,78,45,8.21,scattered clouds
137,Talcahuano,CL,-36.7167,-73.1167,53.28,100,100,13.8,light intensity drizzle
138,Liberal,US,37.0431,-100.921,105.94,18,0,19.57,clear sky
139,Vanavara,RU,60.34,102.2797,58.05,97,91,5.41,overcast clouds
140,Pisco,PE,-13.7,-76.2167,62.51,79,82,3.58,broken clouds
141,Avarua,CK,-21.2078,-159.775,72.16,71,99,20.15,overcast clouds
142,Port Hardy,CA,50.6996,-127.4199,62.78,72,40,11.5,scattered clouds
143,Ullapool,GB,57.8987,-5.1604,57.16,96,96,7.43,light rain
144,Port Macquarie,AU,-31.4333,152.9167,47.89,81,90,7.49,overcast clouds
145,Nuuk,GL,64.1835,-51.7216,57.81,62,20,8.05,few clouds
146,Bouloupari,NC,-21.8667,166.05,75.58,87,78,5.86,broken clouds
147,Fez,MA,34.0372,-4.9998,95.25,14,0,3.44,clear sky
148,Ahipara,NZ,-35.1667,173.1667,55.99,89,100,17.74,moderate rain
149,Navrongo,GH,10.8956,-1.0921,74.43,91,98,6.55,overcast clouds
150,Nikolskoye,RU,59.7035,30.7861,66.09,98,52,3.67,broken clouds
151,Teacapan,MX,22.55,-105.75,87.66,64,18,10.76,few clouds
152,Kavieng,PG,-2.5744,150.7967,82.99,73,6,9.31,clear sky
153,Irbil,IQ,36.1926,44.0106,85.82,17,0,2.3,clear sky
154,Guerrero Negro,MX,27.9769,-114.0611,75.81,58,11,16.04,few clouds
155,Jacareacanga,BR,-6.2222,-57.7528,82.36,39,55,1.61,broken clouds
156,Bethel,US,41.3712,-73.414,95.85,46,0,10.36,clear sky
157,Xiuyan,CN,40.2928,123.2744,69.01,94,54,1.34,broken clouds
158,Faanui,PF,-16.4833,-151.75,79.56,73,9,12.91,clear sky
159,Gilgit,PK,35.9221,74.3087,84.02,55,95,1.74,overcast clouds
160,Eureka,US,40.8021,-124.1637,68.36,73,35,7.0,scattered clouds
161,Atambua,ID,-9.1061,124.8925,63.77,80,94,5.48,overcast clouds
162,Cherskiy,RU,68.75,161.3,59.4,44,14,1.39,few clouds
163,Rudsar,IR,37.1376,50.288,76.98,75,20,2.26,few clouds
164,Bataipora,BR,-22.2953,-53.2711,75.87,36,69,5.57,broken clouds
165,Northam,GB,51.0333,-4.2167,65.39,89,99,18.23,overcast clouds
166,Kaitangata,NZ,-46.2817,169.8464,37.51,77,48,2.89,scattered clouds
167,Jiwani,PK,25.05,61.7417,81.81,85,96,8.63,overcast clouds
168,Labuhan,ID,-6.8844,112.2051,74.71,86,87,8.25,overcast clouds
169,Santa Cruz Cabralia,BR,-16.2781,-39.0247,75.43,78,75,6.91,broken clouds
170,Caravelas,BR,-17.7125,-39.2481,70.65,76,0,6.64,clear sky
171,Zelenogorskiy,RU,55.0333,87.0,50.52,97,97,4.29,overcast clouds
172,Arraial Do Cabo,BR,-22.9661,-42.0278,72.1,85,3,20.96,clear sky
173,Chateau-Thierry,FR,49.05,3.4,69.37,63,91,8.72,overcast clouds
174,Narsaq,GL,60.9167,-46.05,57.42,81,99,5.41,overcast clouds
175,Torbay,CA,47.6666,-52.7314,81.37,69,75,12.66,broken clouds
176,Yaounde,CM,3.8667,11.5167,66.2,98,99,2.71,overcast clouds
177,Adrar,MR,20.5022,-10.0711,95.79,27,91,10.22,overcast clouds
178,Sabla,NG,12.7525,4.7077,82.31,68,99,12.97,overcast clouds
179,Chokurdakh,RU,70.6333,147.9167,56.21,47,89,12.3,overcast clouds
180,Maneadero,MX,31.7167,-116.5667,71.1,75,55,5.99,broken clouds
181,Linguere,SN,15.3953,-15.1193,86.22,84,40,9.22,scattered clouds
182,Aksu,CN,41.1231,80.2644,82.92,15,0,4.21,clear sky
183,Coldwater,US,41.9403,-85.0005,87.12,54,0,13.8,clear sky
184,Vila Velha,BR,-20.3297,-40.2925,73.94,84,20,5.75,few clouds
185,Lloydminster,CA,53.2835,-110.0016,66.87,48,8,4.9,clear sky
186,Roma,US,43.2128,-75.4557,92.82,54,20,3.44,few clouds
187,Qaqortoq,GL,60.7167,-46.0333,44.65,88,99,4.05,overcast clouds
188,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,77,20,2.24,few clouds
189,Aksarka,RU,66.5606,67.7975,44.82,86,1,5.19,clear sky
190,Vryburg,ZA,-26.9566,24.7284,53.73,46,3,7.87,clear sky
191,Gravelbourg,CA,49.8834,-106.5512,72.36,38,35,14.45,scattered clouds
192,Mizdah,LY,31.4451,12.9801,74.53,43,0,14.25,clear sky
193,Hutchinson,US,38.0608,-97.9298,104.59,19,5,23.15,clear sky
194,Lavrentiya,RU,65.5833,-171.0,42.69,90,100,10.47,overcast clouds
195,Itarema,BR,-2.9248,-39.9167,79.14,75,40,15.99,scattered clouds
196,Bisira,PA,8.5196,-81.7115,63.75,93,100,2.1,overcast clouds
197,Te Anau,NZ,-45.4167,167.7167,39.79,92,62,1.1,broken clouds
198,Twin Falls,US,42.3505,-114.6445,87.93,16,0,9.22,clear sky
199,Vao,NC,-22.6667,167.4833,73.65,87,85,17.72,overcast clouds
200,Varadero,CU,23.1536,-81.2514,88.56,79,96,16.4,overcast clouds
201,Tucurui,BR,-3.7661,-49.6725,79.99,55,95,4.54,overcast clouds
202,Coihaique,CL,-45.5752,-72.0662,31.95,74,100,0.0,light snow
203,Qaanaaq,GL,77.484,-69.3632,37.58,99,100,0.78,overcast clouds
204,Zhezkazgan,KZ,47.8043,67.7144,73.62,30,29,8.81,scattered clouds
205,Evensk,RU,61.95,159.2333,56.66,50,6,14.16,clear sky
206,Dingle,PH,10.9995,122.6711,77.07,91,82,1.57,broken clouds
207,Hamilton,US,39.1834,-84.5333,88.65,51,0,6.91,clear sky
208,La Palma,US,33.8464,-118.0467,98.96,64,20,11.5,few clouds
209,Kathu,TH,7.9178,98.3332,84.69,94,100,6.2,overcast clouds
210,Ilulissat,GL,69.2167,-51.1,38.95,98,100,2.8,overcast clouds
211,Marystown,CA,47.1666,-55.1483,71.85,100,24,8.99,few clouds
212,Husavik,IS,66.0449,-17.3389,48.02,87,100,2.84,overcast clouds
213,Sandwick,GB,60.0,-1.25,55.22,76,100,17.27,light rain
214,Belyy Yar,RU,53.6039,91.3903,52.84,93,32,3.89,scattered clouds
215,Xining,CN,36.6167,101.7667,52.77,60,0,3.33,clear sky
216,Olafsvik,IS,64.8945,-23.7142,51.8,84,46,8.99,scattered clouds
217,Ponta Do Sol,PT,32.6667,-17.1,73.13,70,2,3.74,clear sky
218,Kundiawa,PG,-6.0167,144.9667,64.49,90,57,0.38,broken clouds
219,Westport,US,41.1415,-73.3579,97.63,46,0,10.36,clear sky
220,Woodbridge,US,40.5576,-74.2846,101.21,41,0,11.5,clear sky
221,Faya,SA,18.3851,42.4509,66.24,65,100,7.43,moderate rain
222,Alice Springs,AU,-23.7,133.8833,49.55,32,0,6.91,clear sky
223,Sur,OM,22.5667,59.5289,87.28,67,48,9.66,scattered clouds
224,Tokonou,GN,9.65,-9.7833,69.39,96,77,3.04,light rain
225,Tabou,CI,4.423,-7.3528,74.88,75,62,8.79,broken clouds
226,Xinyang,CN,32.1228,114.0656,71.2,88,0,3.24,clear sky
227,Gyula,HU,46.65,21.2833,82.96,41,46,15.57,scattered clouds
228,Riyadh,SA,24.6877,46.7219,93.81,15,95,7.81,overcast clouds
229,Martil,MA,35.6166,-5.2752,76.96,78,20,3.44,few clouds
230,Lagoa,PT,39.05,-27.9833,72.84,89,24,9.75,few clouds
231,Manga,BF,11.6636,-1.0731,74.86,88,58,8.21,broken clouds
232,Kasongo-Lunda,CD,-6.4667,16.8167,78.89,54,99,3.18,overcast clouds
233,Hanna,CA,51.6334,-111.9018,72.86,53,20,1.99,few clouds
234,Salalah,OM,17.0151,54.0924,77.09,94,75,4.61,broken clouds
235,Pundaguitan,PH,6.3711,126.1689,82.06,75,100,6.58,overcast clouds
236,Williams Lake,CA,52.1415,-122.1445,86.05,33,20,6.91,few clouds
237,Vitim,RU,59.4511,112.5578,72.73,72,6,1.34,clear sky
238,Constitucion,CL,-35.3333,-72.4167,54.64,87,100,2.35,overcast clouds
239,Jiuquan,CN,39.7432,98.5174,71.28,30,0,3.09,clear sky
240,Khani,GE,41.9563,42.9566,56.77,84,59,2.28,broken clouds
241,Victor Harbor,AU,-35.5667,138.6167,54.68,73,0,7.72,clear sky
242,Upernavik,GL,72.7868,-56.1549,42.93,96,100,4.76,overcast clouds
243,Ust-Tsilma,RU,65.441,52.1498,49.71,84,89,2.93,overcast clouds
244,Valparaiso,CL,-33.0393,-71.6273,55.63,92,75,6.91,mist
245,Vardo,NO,70.3705,31.1107,51.71,87,70,15.77,broken clouds
246,Timra,SE,62.487,17.3257,56.68,82,100,4.61,overcast clouds
247,Recke,DE,52.3833,7.7167,63.34,81,57,5.97,broken clouds
248,Carnarvon,AU,-24.8667,113.6333,63.63,62,57,17.34,broken clouds
249,Onokhoy,RU,51.932,108.0747,56.71,91,63,1.99,broken clouds
250,Vestmannaeyjar,IS,63.4427,-20.2734,54.27,86,100,6.58,overcast clouds
251,Lompoc,US,34.6391,-120.4579,74.84,72,0,18.01,clear sky
252,Alekseyevsk,RU,57.8406,108.3492,60.91,97,100,2.84,overcast clouds
253,Salinas,US,36.6777,-121.6555,70.77,51,0,9.86,clear sky
254,Rio Grande,BR,-32.035,-52.0986,62.71,98,63,7.76,broken clouds
255,Fort Nelson,CA,58.8053,-122.7002,67.59,56,75,5.75,broken clouds
256,Cody,US,44.5263,-109.0565,83.03,33,0,11.5,clear sky
257,Rocha,UY,-34.4833,-54.3333,62.37,93,97,5.41,overcast clouds
258,Niquelandia,BR,-14.4739,-48.4597,75.24,34,2,4.79,clear sky
259,Nemuro,JP,43.3236,145.575,61.38,93,94,7.78,overcast clouds
260,Jacmel,HT,18.2342,-72.5347,89.44,74,73,5.48,broken clouds
261,San Ignacio,BZ,17.1561,-89.0714,82.13,74,100,7.27,overcast clouds
262,Bria,CF,6.5423,21.9863,67.05,98,71,1.41,broken clouds
263,San Patricio,US,28.017,-97.5169,94.06,47,23,18.3,few clouds
264,Namibe,AO,-15.1961,12.1522,63.54,89,45,1.39,scattered clouds
265,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,14.97,scattered clouds
266,Mexicali,MX,32.6519,-115.4683,109.09,34,76,14.58,broken clouds
267,Dunedin,NZ,-45.8742,170.5036,41.74,73,3,4.76,clear sky
268,Sanbu,CN,33.4594,119.1453,72.34,92,1,3.89,clear sky
269,Wau,SS,7.7029,27.9953,71.19,94,82,0.65,broken clouds
270,Yurla,RU,59.3259,54.3223,60.22,97,39,5.12,scattered clouds
271,Mezen,RU,65.8522,44.24,52.11,88,100,4.65,overcast clouds
272,Muncar,ID,-8.4333,114.3333,72.97,82,97,5.39,overcast clouds
273,Xacmaz,AZ,41.4635,48.806,71.89,76,97,4.63,overcast clouds
274,Cuernavaca,MX,18.9167,-99.25,79.65,42,75,3.44,broken clouds
275,Grindavik,IS,63.8424,-22.4338,50.47,87,75,10.36,broken clouds
276,Saldanha,ZA,-33.0117,17.9442,55.18,68,0,21.77,clear sky
277,Taoudenni,ML,22.6783,-3.9836,100.92,8,0,12.41,clear sky
278,Banda Aceh,ID,5.5577,95.3222,77.67,84,100,3.4,light rain
279,Drayton Valley,CA,53.2168,-114.9854,72.21,63,18,6.06,few clouds
280,Shingu,JP,33.7333,135.9833,77.45,70,72,2.06,broken clouds
281,Tapiramuta,BR,-11.8472,-40.7914,67.39,69,69,8.66,broken clouds
282,Teguldet,RU,57.3064,88.1667,49.6,93,74,4.99,broken clouds
283,Vitoria Do Mearim,BR,-3.4622,-44.8706,79.9,60,87,1.63,overcast clouds
284,Merauke,ID,-8.4667,140.3333,76.05,91,79,10.83,broken clouds
285,Pontes E Lacerda,BR,-15.2261,-59.3353,82.13,32,3,2.93,clear sky
286,Ligaya,PH,12.6599,120.8923,80.02,80,98,3.02,heavy intensity rain
287,Salcininkai,LT,54.3,25.3833,66.29,94,74,5.01,broken clouds
288,Madanapalle,IN,13.55,78.5,71.47,80,86,9.44,overcast clouds
289,Ancud,CL,-41.8697,-73.8203,46.22,91,100,1.32,overcast clouds
290,Listowel,IE,52.4464,-9.485,64.11,90,89,11.12,overcast clouds
291,Abapo,BO,-18.8333,-63.4667,74.8,48,0,8.05,clear sky
292,Sibolga,ID,1.7427,98.7792,75.22,89,95,3.96,overcast clouds
293,Prince Rupert,CA,54.3161,-130.3201,62.24,73,100,4.16,overcast clouds
294,Tonawanda,US,42.985,-78.878,84.09,62,75,25.32,broken clouds
295,Lodja,CD,-3.4833,23.4333,73.35,71,7,2.98,clear sky
296,Karpathos,GR,35.507,27.2132,75.16,78,0,25.32,clear sky
297,Zhuhai,CN,22.2769,113.5678,84.58,74,30,8.01,scattered clouds
298,Safranbolu,TR,41.2508,32.6942,58.06,85,0,1.36,clear sky
299,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,4.61,overcast clouds
300,Souillac,MU,-20.5167,57.5167,68.38,83,40,12.66,scattered clouds
301,Taltal,CL,-25.4,-70.4833,58.82,80,28,5.68,scattered clouds
302,Kununurra,AU,-15.7667,128.7333,46.38,87,3,0.0,clear sky
303,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,78.35,42,100,4.5,overcast clouds
304,Klyuchi,RU,52.2667,79.1667,62.15,74,73,5.66,broken clouds
305,Sitka,US,57.0531,-135.33,57.09,88,100,0.0,light rain
306,Hasaki,JP,35.7333,140.8333,75.6,83,99,10.22,overcast clouds
307,Praia Da Vitoria,PT,38.7333,-27.0667,75.45,88,20,3.71,few clouds
308,Leninskoye,KZ,41.7589,69.3864,83.52,17,0,3.38,clear sky
309,Izumo,JP,35.3667,132.7667,71.49,88,75,4.61,broken clouds
310,Erzin,TR,36.9559,36.2,75.36,65,0,2.37,clear sky
311,Coahuayana,MX,18.7333,-103.6833,87.62,63,100,5.37,overcast clouds
312,San Cristobal,VE,7.7669,-72.225,80.78,48,14,3.76,few clouds
313,Aku,NG,6.7081,7.3167,69.06,98,100,2.33,overcast clouds
314,Antalaha,MG,-14.9003,50.2788,68.2,80,59,6.62,light rain
315,Birjand,IR,32.8663,59.2211,81.07,29,0,11.5,clear sky
316,Bac Lieu,VN,9.285,105.7244,78.67,84,100,3.47,overcast clouds
317,Port Lincoln,AU,-34.7333,135.8667,55.67,66,69,14.65,light rain
318,Kambove,CD,-10.8764,26.5969,59.76,47,9,4.32,clear sky
319,Frolishchi,RU,56.4211,42.6533,64.2,79,14,3.98,few clouds
320,Lorengau,PG,-2.0226,147.2712,82.85,77,17,7.78,few clouds
321,Langsa,ID,4.4683,97.9683,73.06,96,100,1.74,overcast clouds
322,Eyl,SO,7.9803,49.8164,77.02,76,100,24.92,overcast clouds
323,Kokoda,PG,-8.8785,147.7407,76.93,86,76,0.69,broken clouds
324,Torrington,US,41.8007,-73.1212,95.23,43,1,1.99,clear sky
325,Mayumba,GA,-3.432,10.6554,68.76,90,91,3.8,overcast clouds
326,Richards Bay,ZA,-28.783,32.0377,68.99,79,53,13.47,broken clouds
327,Mattru,SL,7.6244,-11.8332,73.8,88,97,2.98,overcast clouds
328,Tandil,AR,-37.3217,-59.1332,51.69,93,81,3.74,broken clouds
329,Lensk,RU,60.7253,114.9278,71.91,87,30,4.72,scattered clouds
330,Chernyshevskiy,RU,63.0128,112.4714,64.11,90,8,11.92,clear sky
331,Cidreira,BR,-30.1811,-50.2056,62.04,98,52,9.35,broken clouds
332,Maues,BR,-3.3836,-57.7186,82.98,53,72,2.37,broken clouds
333,Mana,GF,5.6592,-53.7767,78.76,85,98,8.14,overcast clouds
334,South Sioux City,US,42.4739,-96.4136,93.99,43,67,8.01,broken clouds
335,Olinda,BR,-8.0089,-34.8553,76.73,78,40,14.97,scattered clouds
336,Berbera,SO,10.4396,45.0143,92.46,36,43,25.59,scattered clouds
337,Kuching,MY,1.55,110.3333,75.42,94,20,2.3,few clouds
338,Komsomolskiy,UZ,40.4272,71.7189,84.92,30,2,11.5,clear sky
339,Henties Bay,NA,-22.116,14.2845,56.12,86,0,5.91,clear sky
340,Broken Hill,AU,-31.95,141.4333,52.03,80,2,8.9,clear sky
341,Wladyslawowo,PL,54.7909,18.4009,59.45,84,5,14.25,clear sky
342,Perelyub,RU,51.8667,50.3667,65.3,82,99,8.5,moderate rain
343,Minab,IR,27.1467,57.0801,89.1,76,100,7.87,overcast clouds
344,Bengkulu,ID,-3.8004,102.2655,74.93,91,91,6.55,overcast clouds
345,Luwuk,ID,-0.9516,122.7875,76.24,90,63,4.43,broken clouds
346,Saint-Joseph,RE,-21.3667,55.6167,68.31,81,47,11.9,light rain
